timestamp,strategy,freq,oos_sharpe,oos_sortino,oos_calmar,oos_maxdd,corr_bench,null_p95,bench_sharpe,bench_calmar,verdict
2026-07-21T23:49:33,tsmom_12m,M,0.507,0.635,0.243,-0.106,0.38,0.314,0.846,0.452,DEAD
2026-07-21T23:49:33,tsmom_ensemble,M,0.38,0.468,0.176,-0.095,0.239,0.314,0.846,0.452,DEAD
2026-07-21T23:49:33,xsec_momentum,M,0.307,0.399,0.167,-0.07,0.132,0.314,0.846,0.452,DEAD
2026-07-21T23:49:33,green_line_200d,M,0.436,0.562,0.176,-0.116,0.208,0.314,0.846,0.452,DEAD
2026-07-21T23:49:33,str_reversal_5d,W,-0.509,-0.675,-0.112,-0.25,0.3,-0.212,0.846,0.452,DEAD
2026-07-21T23:49:33,low_vol_xsec,M,-0.027,-0.041,-0.014,-0.114,-0.481,0.314,0.846,0.452,DEAD
2026-07-21T23:49:33,turn_of_month,D,0.324,0.258,0.158,-0.067,0.47,-3.325,0.846,0.452,DEAD
2026-07-22T18:50:40,insider_buying_21d,D,0.48,,,-0.103,,0.7,0.84,,DEAD
2026-07-24T00:02:33,piggyback_2a,M,0.885,1.121,0.498,-0.143,0.995,0.873,0.846,0.452,ALIVE
2026-07-24T00:02:33,piggyback_2b,M,0.871,1.097,0.447,-0.167,0.997,0.873,0.846,0.452,DEAD
2026-07-24T00:02:33,piggyback_3,M,0.885,1.124,0.516,-0.14,0.993,0.871,0.846,0.452,ALIVE
2026-07-24T00:02:33,piggyback_4,M,0.881,1.123,0.514,-0.14,0.994,0.863,0.846,0.452,ALIVE
