date,book,equity
2026-07-22,tsmom_12m,99955.08
2026-07-22T13:30,tsmom_12m,100053.65
2026-07-22T14:30,tsmom_12m,100084.71
2026-07-22T15:30,tsmom_12m,100066.96
2026-07-22T16:30,tsmom_12m,100058.0
2026-07-22T17:30,tsmom_12m,100032.89
2026-07-22T18:30,tsmom_12m,99984.96
2026-07-22T19:30,tsmom_12m,99951.97
2026-07-23,tsmom_12m,99664.45
2026-07-23T13:30,tsmom_12m,99729.36
2026-07-23T14:30,tsmom_12m,99592.02
2026-07-23T15:30,tsmom_12m,99731.86
2026-07-23T16:30,tsmom_12m,99706.86
2026-07-23T17:30,tsmom_12m,99654.03
2026-07-23T18:30,tsmom_12m,99648.66
2026-07-23T19:30,tsmom_12m,99674.23
2026-07-24,tsmom_12m,99704.31
2026-07-24T13:30,tsmom_12m,99771.43
2026-07-24T14:30,tsmom_12m,99870.52
2026-07-24T15:30,tsmom_12m,99889.43
2026-07-24T16:30,tsmom_12m,99821.11
2026-07-24T17:30,tsmom_12m,99733.19
2026-07-24T18:30,tsmom_12m,99687.98
2026-07-24T19:30,tsmom_12m,99704.13
2026-07-24T21:44,tsmom_12m,99664.45
2026-07-24T21:45,tsmom_12m,99664.45
2026-07-24T21:50,tsmom_12m,99664.45
2026-07-24T22:20,tsmom_12m,99664.45
2026-07-24T22:50,tsmom_12m,99664.45
2026-07-24T23:20,tsmom_12m,99664.45
2026-07-24T23:51,tsmom_12m,99664.45
2026-07-25T00:21,tsmom_12m,99664.45
2026-07-25T11:48,tsmom_12m,99664.45
2026-07-25T12:18,tsmom_12m,99664.45
2026-07-25T14:57,tsmom_12m,99664.45
2026-07-25T15:27,tsmom_12m,99664.45
2026-07-25T15:57,tsmom_12m,99664.45
2026-07-25T16:27,tsmom_12m,99664.45
2026-07-25T16:57,tsmom_12m,99664.45
2026-07-25T17:27,tsmom_12m,99664.45
2026-07-25T17:57,tsmom_12m,99664.45
2026-07-25T18:27,tsmom_12m,99664.45
2026-07-25T19:40,tsmom_12m,99664.45
2026-07-25T19:45,tsmom_12m,99664.45
2026-07-26T03:00,tsmom_12m,99704.31
2026-07-26T11:20,tsmom_12m,99704.31
2026-07-26T13:25,tsmom_12m,99704.31
2026-07-26T17:03,tsmom_12m,99664.45
2026-07-26T19:13,tsmom_12m,99704.31
2026-07-26T20:59,tsmom_12m,99704.31
2026-07-27,tsmom_12m,99657.11
2026-07-27T00:01,tsmom_12m,99704.31
2026-07-27T04:37,tsmom_12m,99704.31
2026-07-27T13:30,tsmom_12m,99627.6
2026-07-27T14:30,tsmom_12m,99665.85
2026-07-27T15:30,tsmom_12m,99625.99
2026-07-27T16:30,tsmom_12m,99563.07
2026-07-27T17:30,tsmom_12m,99572.61
2026-07-27T18:30,tsmom_12m,99683.4
2026-07-27T19:30,tsmom_12m,99653.88
2026-07-27T23:03,tsmom_12m,99657.11
2026-07-28T02:37,tsmom_12m,99657.11
2026-07-28T05:48,tsmom_12m,99657.11
2026-07-28T08:36,tsmom_12m,99657.11
2026-07-28T11:19,tsmom_12m,99657.11
2026-07-28T13:30,tsmom_12m,99529.77
2026-07-28T14:30,tsmom_12m,99640.92
2026-07-28T15:30,tsmom_12m,99626.78
2026-07-28T16:30,tsmom_12m,99631.03
2026-07-28T17:30,tsmom_12m,99597.14
2026-07-28T18:30,tsmom_12m,99623.38
2026-07-28T19:30,tsmom_12m,99601.46
2026-07-28T22:05,tsmom_12m,99611.18
2026-07-28T23:05,tsmom_12m,99611.18
2026-07-28T23:58,tsmom_12m,99611.18
2026-07-29T03:28,tsmom_12m,99611.18
2026-07-29T06:32,tsmom_12m,99611.18
2026-07-29T13:30,tsmom_12m,99469.57
2026-07-29T14:30,tsmom_12m,99427.68
2026-07-29T15:30,tsmom_12m,99422.13
2026-07-29T16:30,tsmom_12m,99516.49
2026-07-29T17:30,tsmom_12m,99559.57
2026-07-29T18:30,tsmom_12m,99567.59
2026-07-29T19:30,tsmom_12m,99181.72
2026-07-29T22:06,tsmom_12m,99183.24
2026-07-29T23:02,tsmom_12m,99183.24
2026-07-30T00:01,tsmom_12m,99183.24
2026-07-30T01:44,tsmom_12m,99183.24
2026-07-30T03:58,tsmom_12m,99183.24
2026-07-30T06:35,tsmom_12m,99183.24
2026-07-22,tsmom_ensemble,99967.49
2026-07-22T13:30,tsmom_ensemble,100025.98
2026-07-22T14:30,tsmom_ensemble,100013.72
2026-07-22T15:30,tsmom_ensemble,100019.45
2026-07-22T16:30,tsmom_ensemble,100022.16
2026-07-22T17:30,tsmom_ensemble,100004.16
2026-07-22T18:30,tsmom_ensemble,99993.25
2026-07-22T19:30,tsmom_ensemble,99967.8
2026-07-23,tsmom_ensemble,99953.77
2026-07-23T13:30,tsmom_ensemble,100044.88
2026-07-23T14:30,tsmom_ensemble,99932.57
2026-07-23T15:30,tsmom_ensemble,99998.43
2026-07-23T16:30,tsmom_ensemble,99988.86
2026-07-23T17:30,tsmom_ensemble,99942.77
2026-07-23T18:30,tsmom_ensemble,99941.29
2026-07-23T19:30,tsmom_ensemble,99963.97
2026-07-24,tsmom_ensemble,99933.89
2026-07-24T13:30,tsmom_ensemble,99907.09
2026-07-24T14:30,tsmom_ensemble,99952.78
2026-07-24T15:30,tsmom_ensemble,99979.67
2026-07-24T16:30,tsmom_ensemble,99990.76
2026-07-24T17:30,tsmom_ensemble,99938.62
2026-07-24T18:30,tsmom_ensemble,99901.18
2026-07-24T19:30,tsmom_ensemble,99932.45
2026-07-24T21:44,tsmom_ensemble,99953.77
2026-07-24T21:45,tsmom_ensemble,99953.77
2026-07-24T21:50,tsmom_ensemble,99953.77
2026-07-24T22:20,tsmom_ensemble,99953.77
2026-07-24T22:50,tsmom_ensemble,99953.77
2026-07-24T23:20,tsmom_ensemble,99953.77
2026-07-24T23:51,tsmom_ensemble,99953.77
2026-07-25T00:21,tsmom_ensemble,99953.77
2026-07-25T11:48,tsmom_ensemble,99953.77
2026-07-25T12:18,tsmom_ensemble,99953.77
2026-07-25T14:57,tsmom_ensemble,99953.77
2026-07-25T15:27,tsmom_ensemble,99953.77
2026-07-25T15:57,tsmom_ensemble,99953.77
2026-07-25T16:27,tsmom_ensemble,99953.77
2026-07-25T16:57,tsmom_ensemble,99953.77
2026-07-25T17:27,tsmom_ensemble,99953.77
2026-07-25T17:57,tsmom_ensemble,99953.77
2026-07-25T18:27,tsmom_ensemble,99953.77
2026-07-25T19:40,tsmom_ensemble,99953.77
2026-07-25T19:45,tsmom_ensemble,99953.77
2026-07-26T03:00,tsmom_ensemble,99933.89
2026-07-26T11:20,tsmom_ensemble,99933.89
2026-07-26T13:25,tsmom_ensemble,99933.89
2026-07-26T17:03,tsmom_ensemble,99953.77
2026-07-26T19:13,tsmom_ensemble,99933.89
2026-07-26T20:59,tsmom_ensemble,99933.89
2026-07-27,tsmom_ensemble,99698.74
2026-07-27T00:01,tsmom_ensemble,99933.89
2026-07-27T04:37,tsmom_ensemble,99933.89
2026-07-27T13:30,tsmom_ensemble,99722.81
2026-07-27T14:30,tsmom_ensemble,99707.23
2026-07-27T15:30,tsmom_ensemble,99678.84
2026-07-27T16:30,tsmom_ensemble,99632.14
2026-07-27T17:30,tsmom_ensemble,99653.78
2026-07-27T18:30,tsmom_ensemble,99722.27
2026-07-27T19:30,tsmom_ensemble,99700.35
2026-07-27T23:03,tsmom_ensemble,99698.74
2026-07-28T02:37,tsmom_ensemble,99698.74
2026-07-28T05:48,tsmom_ensemble,99698.74
2026-07-28T08:36,tsmom_ensemble,99698.74
2026-07-28T11:19,tsmom_ensemble,99698.74
2026-07-28T13:30,tsmom_ensemble,99574.22
2026-07-28T14:30,tsmom_ensemble,99595.73
2026-07-28T15:30,tsmom_ensemble,99540.99
2026-07-28T16:30,tsmom_ensemble,99553.51
2026-07-28T17:30,tsmom_ensemble,99574.44
2026-07-28T18:30,tsmom_ensemble,99602.44
2026-07-28T19:30,tsmom_ensemble,99574.2
2026-07-28T22:05,tsmom_ensemble,99581.77
2026-07-28T23:05,tsmom_ensemble,99581.77
2026-07-28T23:58,tsmom_ensemble,99581.77
2026-07-29T03:28,tsmom_ensemble,99581.77
2026-07-29T06:32,tsmom_ensemble,99581.77
2026-07-29T13:30,tsmom_ensemble,99555.81
2026-07-29T14:30,tsmom_ensemble,99547.1
2026-07-29T15:30,tsmom_ensemble,99541.68
2026-07-29T16:30,tsmom_ensemble,99600.71
2026-07-29T17:30,tsmom_ensemble,99613.99
2026-07-29T18:30,tsmom_ensemble,99617.19
2026-07-29T19:30,tsmom_ensemble,99470.42
2026-07-29T22:06,tsmom_ensemble,99469.76
2026-07-29T23:02,tsmom_ensemble,99469.76
2026-07-30T00:01,tsmom_ensemble,99469.76
2026-07-30T01:44,tsmom_ensemble,99469.76
2026-07-30T03:58,tsmom_ensemble,99469.76
2026-07-30T06:35,tsmom_ensemble,99469.76
2026-07-22,green_line_200d,99955.08
2026-07-22T13:30,green_line_200d,99993.52
2026-07-22T14:30,green_line_200d,99959.6
2026-07-22T15:30,green_line_200d,99977.07
2026-07-22T16:30,green_line_200d,99985.61
2026-07-22T17:30,green_line_200d,99971.18
2026-07-22T18:30,green_line_200d,99978.77
2026-07-22T19:30,green_line_200d,99957.09
2026-07-23,green_line_200d,100079.81
