book,equity,return,last_run,retired_at
tsmom_12m,99397.16,-0.006,2026-08-04T00:10:51,
tsmom_ensemble,99768.62,-0.0023,2026-08-04T00:10:51,
green_line_200d,99935.72,-0.0006,2026-08-04T00:10:51,
turn_of_month,99707.2,-0.0029,2026-08-04T00:10:51,
piggyback_2a,100446.9,0.0045,2026-08-04T00:10:52,
piggyback_3,100449.69,0.0045,2026-08-04T00:10:52,
piggyback_4,100473.93,0.0047,2026-08-04T00:10:52,
turn_of_month_gen_5_7,99712.31,-0.0029,2026-08-04T00:10:52,
turn_of_month_gen_7_2,99712.31,-0.0029,2026-08-04T00:10:52,
turn_of_month_gen_1_6,99712.31,-0.0029,2026-08-04T00:10:52,
turn_of_month_gen_5_2,99669.67,-0.0033,2026-08-04T00:10:52,
turn_of_month_gen_7_5,99669.67,-0.0033,2026-08-04T00:10:52,
turn_of_month_gen_7_3,99831.9,-0.0017,2026-08-04T00:10:52,
factory_combo_donchian_gen_93d_turn_of_month_gen_3_1,99958.9,-0.0004,2026-08-04T00:10:52,
factory_combo_donchian_gen_109d_turn_of_month_gen_1_2,99958.92,-0.0004,2026-08-04T00:10:52,
factory_combo_str_reversal_gen_36d_turn_of_month_gen_5_8,100000.0,0.0,2026-08-04T04:15:37,
carry_btc_eth,100211.37,0.0021,2026-08-04T04:15:37,
crypto_reversal_1h,99030.49,-0.0097,2026-08-04T04:15:37,
equity_tsmom_1h,97152.71,-0.0285,2026-08-04T04:15:37,
funding_timing_1h,100034.86,0.0003,2026-08-04T04:15:38,
kronos_wick_agg,100000.0,0.0,2026-08-04T00:10:52,
carry_kronos_vol,100014.1,0.0001,2026-08-03T05:53:17,
